\,A,T,9,8,7,6,5,4,3,2
AA,-0.0794,0.1967,0.4048,0.5224,0.6348,0.6982,0.6258,0.5861,0.5549,0.4982
22,-0.5449,-0.5019,-0.2939,-0.1369,-0.0078,0.0567,-0.0207,-0.0611,-0.1148,-0.1545
33,-0.5817,-0.5426,-0.3445,-0.1890,-0.0638,-0.0157,-0.0733,-0.1189,-0.1685,-0.2208
44,-0.6065,-0.5701,-0.3909,-0.2335,-0.1168,-0.0308,-0.1038,-0.1608,-0.2221,-0.2664
55,-0.6539,-0.6240,-0.4444,-0.3009,-0.1879,-0.0658,-0.1381,-0.1926,-0.2632,-0.3184
66,-0.6831,-0.6675,-0.4939,-0.3533,-0.2522,-0.0912,-0.1722,-0.2268,-0.2842,-0.3450
77,-0.7289,-0.6723,-0.5156,-0.3676,-0.1444,-0.0375,-0.1104,-0.1758,-0.2471,-0.2913
88,-0.5991,-0.5563,-0.3681,-0.1289,0.1013,0.1134,0.0306,-0.0330,-0.0974,-0.1465
99,-0.4258,-0.3970,-0.1259,0.1310,0.2513,0.2728,0.1859,0.1412,0.0885,0.0382
TT,-0.2252,-0.0972,0.1695,0.3228,0.4270,0.4605,0.3896,0.3382,0.2933,0.2501
