\,A,T,9,8,7,6,5,4,3,2
AA,-0.0479,0.2427,0.4912,0.6570,0.7830,0.9167,0.8657,0.8032,0.7231,0.6745
22,-0.6042,-0.6219,-0.3837,-0.1995,-0.0414,0.1657,0.1265,0.0372,-0.0624,-0.1208
33,-0.6571,-0.6926,-0.4633,-0.2837,-0.1381,0.0726,0.0269,-0.0515,-0.1529,-0.2111
44,-0.7102,-0.7574,-0.5496,-0.3695,-0.2315,0.0933,0.0759,-0.0206,-0.2458,-0.2946
55,-0.7735,-0.8392,-0.6329,-0.4739,-0.3294,0.0634,0.0188,-0.0678,-0.1967,-0.2740
66,-0.8043,-0.8858,-0.6837,-0.5260,-0.3884,0.0604,0.0292,-0.0708,-0.2072,-0.2834
77,-0.7958,-0.8273,-0.6431,-0.4630,-0.1363,0.1952,0.1400,0.0250,-0.1116,-0.2023
88,-0.6262,-0.6825,-0.4732,-0.1135,0.2089,0.3731,0.2906,0.1938,0.1002,0.0095
99,-0.4207,-0.4680,-0.1052,0.2437,0.4099,0.5462,0.4691,0.3881,0.2919,0.2137
TT,-0.1882,-0.0765,0.3010,0.4736,0.6082,0.7395,0.6790,0.6082,0.5240,0.4635
