\,A,T,9,8,7,6,5,4,3,2
AA,-0.0622,0.2123,0.4385,0.5689,0.6759,0.7685,0.7136,0.6671,0.6260,0.5727
22,-0.5765,-0.5778,-0.3527,-0.1899,-0.0464,0.0714,-0.0089,-0.0449,-0.1138,-0.1545
33,-0.6048,-0.6138,-0.4042,-0.2375,-0.1034,-0.0025,-0.0652,-0.1134,-0.1870,-0.2153
44,-0.6492,-0.6581,-0.4584,-0.2938,-0.1559,-0.0152,-0.0667,-0.1220,-0.2414,-0.2716
55,-0.6810,-0.7132,-0.5160,-0.3559,-0.2166,-0.0380,-0.0943,-0.1506,-0.2339,-0.2842
66,-0.7133,-0.7393,-0.5576,-0.4127,-0.2816,-0.0644,-0.1132,-0.1733,-0.2652,-0.3090
77,-0.7491,-0.7294,-0.5595,-0.4105,-0.1492,0.0282,-0.0639,-0.1105,-0.1963,-0.2625
88,-0.5796,-0.5989,-0.4083,-0.1136,0.1539,0.1876,0.1042,0.0506,-0.0280,-0.0863
99,-0.4144,-0.4224,-0.1099,0.1756,0.3177,0.3597,0.2678,0.2173,0.1638,0.1125
TT,-0.2016,-0.1045,0.2162,0.3748,0.4959,0.5334,0.4627,0.4264,0.3605,0.3282
