\,A,T,9,8,7,6,5,4,3,2
20,0.1185,0.4193,0.7685,0.8025,0.7878,0.7158,0.6832,0.6586,0.6395,0.6341
19,,,,,,,,,,
18,,,,,,,,,,
17,,,,,,,,,,
16,,,,,,,,,,
15,,,,,,,,,,
14,,,,,,,,,,
13,,,,,,,,,,
12,,,,,,,,,,
11,,,,,,,,,,
10,,,,,,,,,,
9,,,,,,,,,,
8,,,,,,,,,,
7,,,,,,,,,,
6,,,,,,,,,,
5,,,,,,,,,,
4,,,,,,,,,,
A9,,,,,,,,,,
A8,,,,,,,,,,
A7,,,,,,,,,,
A6,,,,,,,,,,
A5,,,,,,,,,,
A4,,,,,,,,,,
A3,,,,,,,,,,
A2,,,,,,,,,,
AA,,,,,,,,,,
22,,,,,,,,,,
33,,,,,,,,,,
44,,,,,,,,,,
55,,,,,,,,,,
66,,,,,,,,,,
77,,,,,,,,,,
88,,,,,,,,,,
99,,,,,,,,,,
TT,,,,,,,,,,
