\,A,T,9,8,7,6,5,4,3,2
20,-1.5455,-1.7579,-1.7428,-1.7433,-1.7440,-1.7446,-1.7497,-1.7544,-1.7520,-1.7492
19,-1.3328,-1.4961,-1.4478,-1.4377,-1.4449,-1.4551,-1.4590,-1.4670,-1.4722,-1.4724
18,-1.1772,-1.3009,-1.2114,-1.1790,-1.1808,-1.2063,-1.2248,-1.2264,-1.2364,-1.2339
17,-1.0542,-1.1656,-1.0472,-0.9641,-0.9459,-0.9851,-1.0247,-1.0265,-1.0357,-1.0387
16,-0.9857,-1.0706,-0.9369,-0.8408,-0.7726,-0.8252,-0.8642,-0.8713,-0.8877,-0.8895
15,-0.9442,-0.9917,-0.8538,-0.7521,-0.6762,-0.6877,-0.7159,-0.7434,-0.7674,-0.7834
14,-0.8946,-0.9151,-0.7862,-0.6793,-0.5901,-0.5364,-0.5803,-0.6147,-0.6491,-0.6696
13,-0.8468,-0.8318,-0.6977,-0.5796,-0.4753,-0.4014,-0.4537,-0.4845,-0.5189,-0.5698
12,-0.8085,-0.7664,-0.6241,-0.5012,-0.4034,-0.2764,-0.3223,-0.3668,-0.4146,-0.4455
11,-0.2596,-0.0106,0.1714,0.2879,0.3858,0.5550,0.5120,0.4527,0.4083,0.3583
10,-0.3655,-0.2099,0.0585,0.1929,0.2918,0.4374,0.3760,0.3209,0.2630,0.2230
9,-0.6593,-0.5869,-0.3548,-0.1120,0.0011,0.1867,0.1069,0.0518,-0.0136,-0.0773
8,-0.9209,-0.8276,-0.7096,-0.4985,-0.2845,-0.0418,-0.1220,-0.1973,-0.2670,-0.3388
7,-1.1321,-1.0114,-0.9427,-0.8359,-0.6206,-0.2516,-0.3189,-0.4045,-0.4727,-0.5575
6,-1.2426,-1.1256,-1.0454,-0.9746,-0.8616,-0.3614,-0.4111,-0.5015,-0.5897,-0.6702
5,-1.2628,-1.1339,-1.0606,-0.9802,-0.9064,-0.3802,-0.4429,-0.5224,-0.6071,-0.6803
4,-1.2560,-1.1277,-1.0713,-0.9932,-0.9093,-0.3906,-0.4443,-0.5193,-0.6082,-0.6907
A9,-0.3697,-0.2038,0.0543,0.1886,0.2843,0.4565,0.3732,0.3236,0.2748,0.2301
A8,-0.4725,-0.3508,-0.0970,0.1191,0.2276,0.3741,0.2887,0.2337,0.1839,0.1304
A7,-0.5684,-0.4309,-0.2547,-0.0531,0.1454,0.2873,0.1998,0.1399,0.0918,0.0422
A6,-0.6629,-0.5280,-0.3428,-0.2095,-0.0309,0.1951,0.1077,0.0474,-0.0040,-0.0562
A5,-0.7028,-0.5484,-0.3814,-0.2462,-0.1302,0.1399,0.0671,-0.0044,-0.0547,-0.1188
A4,-0.6995,-0.5512,-0.3684,-0.2422,-0.1169,0.1591,0.0706,0.0159,-0.0522,-0.1122
A3,-0.7002,-0.5525,-0.3795,-0.2444,-0.1222,0.1596,0.0727,0.0176,-0.0426,-0.1132
A2,-0.7033,-0.5368,-0.3750,-0.2406,-0.1136,0.1590,0.0833,0.0383,-0.0469,-0.1066
AA,-0.7367,-0.5446,-0.3720,-0.2326,-0.1133,0.1536,0.0908,0.0297,-0.0325,-0.0919
