\,A,T,9,8,7,6,5,4,3,2
20,-1.7877,-1.7053,-1.6867,-1.6862,-1.6807,-1.6887,-1.6871,-1.6933,-1.6943,-1.6914
19,,,,,,,,,,
18,,,,,,,,,,
17,,,,,,,,,,
16,,,,,,,,,,
15,,,,,,,,,,
14,,,,,,,,,,
13,,,,,,,,,,
12,,,,,,,,,,
11,,,,,,,,,,
10,,,,,,,,,,
9,,,,,,,,,,
8,,,,,,,,,,
7,,,,,,,,,,
6,,,,,,,,,,
5,,,,,,,,,,
4,,,,,,,,,,
A9,,,,,,,,,,
A8,,,,,,,,,,
A7,,,,,,,,,,
A6,,,,,,,,,,
A5,,,,,,,,,,
A4,,,,,,,,,,
A3,,,,,,,,,,
A2,,,,,,,,,,
AA,,,,,,,,,,
22,,,,,,,,,,
33,,,,,,,,,,
44,,,,,,,,,,
55,,,,,,,,,,
66,,,,,,,,,,
77,,,,,,,,,,
88,,,,,,,,,,
99,,,,,,,,,,
TT,,,,,,,,,,
