\,A,T,9,8,7,6,5,4,3,2
20,-1.4765,-1.7150,-1.6996,-1.7000,-1.6958,-1.6976,-1.7101,-1.7047,-1.7015,-1.7058
19,-1.3135,-1.5072,-1.4346,-1.4308,-1.4387,-1.4469,-1.4572,-1.4588,-1.4597,-1.4537
18,-1.1790,-1.3551,-1.2452,-1.1935,-1.1994,-1.2272,-1.2423,-1.2455,-1.2469,-1.2579
17,-1.0890,-1.2551,-1.1404,-1.0367,-0.9844,-1.0313,-1.0653,-1.0709,-1.0859,-1.0888
16,-1.0419,-1.1713,-1.0400,-0.9423,-0.8475,-0.8826,-0.9334,-0.9389,-0.9540,-0.9705
15,-0.9935,-1.1171,-0.9740,-0.8681,-0.7706,-0.7470,-0.7801,-0.8149,-0.8225,-0.8685
14,-0.9390,-1.0305,-0.8835,-0.7780,-0.6862,-0.6075,-0.6454,-0.6795,-0.7085,-0.7340
13,-0.8837,-0.9725,-0.8131,-0.6963,-0.5910,-0.4585,-0.5005,-0.5336,-0.5751,-0.6202
12,-0.8395,-0.8896,-0.7376,-0.6020,-0.4929,-0.3238,-0.3538,-0.4117,-0.4551,-0.4982
11,-0.1765,0.0282,0.2454,0.3810,0.5020,0.7152,0.6617,0.6153,0.5643,0.5217
10,-0.2524,-0.1556,0.1708,0.3251,0.4453,0.6392,0.5539,0.5020,0.4409,0.3990
9,-0.5477,-0.5878,-0.2851,0.0072,0.1360,0.3593,0.2834,0.2181,0.1558,0.0852
8,-0.8109,-0.8470,-0.7191,-0.4283,-0.1593,0.1234,0.0473,-0.0246,-0.1042,-0.1879
7,-1.0326,-1.0363,-0.9550,-0.8513,-0.5759,-0.1123,-0.1509,-0.2467,-0.3369,-0.4165
6,-1.1457,-1.1463,-1.0784,-0.9926,-0.8882,-0.2523,-0.2695,-0.3676,-0.4573,-0.5464
5,-1.1611,-1.1656,-1.0910,-1.0126,-0.9423,-0.2755,-0.2865,-0.3751,-0.4739,-0.5517
4,-1.1560,-1.1606,-1.0941,-1.0191,-0.9308,-0.2637,-0.2941,-0.3845,-0.4754,-0.5634
A9,-0.2638,-0.1556,0.1739,0.3178,0.4322,0.6189,0.5694,0.5133,0.4380,0.3945
A8,-0.3948,-0.3847,-0.0618,0.2268,0.3458,0.5217,0.4506,0.3817,0.3184,0.2608
A7,-0.5177,-0.4948,-0.3111,-0.0206,0.2485,0.4112,0.3250,0.2578,0.1999,0.1266
A6,-0.6490,-0.6060,-0.4209,-0.2685,-0.0077,0.2664,0.1965,0.1238,0.0600,-0.0125
A5,-0.7103,-0.6627,-0.4802,-0.3238,-0.1989,0.1933,0.1465,0.0614,-0.0107,-0.0827
A4,-0.7161,-0.6539,-0.4857,-0.3438,-0.1981,0.2021,0.1502,0.0628,-0.0033,-0.0845
A3,-0.7000,-0.6488,-0.4815,-0.3379,-0.1912,0.2053,0.1527,0.0682,-0.0092,-0.0671
A2,-0.6933,-0.6285,-0.4592,-0.3122,-0.1776,0.2135,0.1645,0.0900,0.0190,-0.0615
AA,-0.7304,-0.6317,-0.4556,-0.3007,-0.1685,0.2127,0.1769,0.0959,0.0178,-0.0552
