\,A,T,9,8,7,6,5,4,3,2
20,-0.9046,-0.8807,-0.8694,-0.8716,-0.8707,-0.8716,-0.8757,-0.8760,-0.8748,-0.8739
19,-0.8040,-0.7499,-0.7220,-0.7191,-0.7219,-0.7269,-0.7312,-0.7309,-0.7365,-0.7333
18,-0.7186,-0.6556,-0.6047,-0.5916,-0.5875,-0.6032,-0.6109,-0.6060,-0.6140,-0.6158
17,-0.6604,-0.5854,-0.5282,-0.4891,-0.4754,-0.4955,-0.5087,-0.5126,-0.5154,-0.5266
16,-0.6240,-0.5309,-0.4748,-0.4283,-0.3933,-0.4105,-0.4324,-0.4373,-0.4412,-0.4501
15,-0.5890,-0.4898,-0.4232,-0.3725,-0.3389,-0.3357,-0.3573,-0.3707,-0.3835,-0.3881
14,-0.5608,-0.4547,-0.3753,-0.3266,-0.2805,-0.2707,-0.2858,-0.3075,-0.3251,-0.3357
13,-0.5221,-0.4039,-0.3240,-0.2669,-0.2234,-0.2092,-0.2302,-0.2416,-0.2653,-0.2751
12,-0.4818,-0.3554,-0.2703,-0.2118,-0.1576,-0.1352,-0.1587,-0.1778,-0.1999,-0.2173
11,-0.1853,0.0301,0.1403,0.2078,0.2632,0.2861,0.2508,0.2343,0.2086,0.1903
10,-0.2364,-0.0550,0.0881,0.1608,0.2134,0.2298,0.1896,0.1684,0.1435,0.1225
9,-0.3354,-0.1972,-0.0556,0.0654,0.1263,0.1348,0.0950,0.0724,0.0416,0.0162
8,-0.4207,-0.2777,-0.1853,-0.0621,0.0513,0.0581,0.0140,-0.0165,-0.0464,-0.0727
7,-0.4871,-0.3371,-0.2564,-0.1884,-0.0795,-0.0168,-0.0563,-0.0887,-0.1239,-0.1462
6,-0.4694,-0.3371,-0.2504,-0.1800,-0.1264,-0.0472,-0.0812,-0.1138,-0.1507,-0.1683
5,-0.4511,-0.3163,-0.2195,-0.1517,-0.0939,-0.0314,-0.0663,-0.1023,-0.1362,-0.1532
4,-0.4260,-0.2889,-0.1940,-0.1190,-0.0587,-0.0170,-0.0534,-0.0814,-0.1150,-0.1356
A9,-0.2305,-0.0505,0.0878,0.1577,0.2085,0.2253,0.1865,0.1733,0.1448,0.1256
A8,-0.2859,-0.1334,0.0070,0.1231,0.1787,0.1863,0.1542,0.1277,0.0973,0.0763
A7,-0.3356,-0.1728,-0.0654,0.0461,0.1426,0.1450,0.1043,0.0800,0.0481,0.0306
A6,-0.3805,-0.2023,-0.1090,-0.0386,0.0601,0.0950,0.0561,0.0340,0.0044,-0.0211
A5,-0.3559,-0.2063,-0.0958,-0.0179,0.0302,0.0794,0.0413,0.0163,-0.0158,-0.0351
A4,-0.3316,-0.1719,-0.0502,0.0259,0.0803,0.0968,0.0617,0.0353,0.0142,-0.0098
A3,-0.3025,-0.1329,-0.0105,0.0665,0.1239,0.1261,0.0986,0.0620,0.0382,0.0194
A2,-0.2759,-0.0986,0.0233,0.1034,0.1655,0.1568,0.1158,0.1028,0.0785,0.0624
AA,-0.2444,-0.0595,0.0720,0.1584,0.2173,0.2002,0.1671,0.1538,0.1256,0.1134
